stamp,lat,lon,alt,x,y
1785737371.667,48.0039869,3.6619564,2.274,-182.000,-68.250
1785737373.334,48.0040453,3.6619564,2.352,-182.000,-61.750
1785737375.001,48.0038701,3.6620437,2.207,-175.500,-81.250
1785737376.668,48.0039285,3.6620437,2.446,-175.500,-74.750
1785737378.335,48.0039869,3.6620437,2.560,-175.500,-68.250
1785737380.002,48.0040453,3.6620437,2.609,-175.500,-61.750
1785737381.669,48.0041037,3.6620437,2.577,-175.500,-55.250
1785737383.336,48.0038117,3.6621310,2.095,-169.000,-87.750
1785737385.003,48.0038701,3.6621310,2.371,-169.000,-81.250
1785737386.670,48.0039285,3.6621310,2.544,-169.000,-74.750
1785737388.337,48.0039869,3.6621310,2.636,-169.000,-68.250
1785737390.004,48.0040453,3.6621310,2.636,-169.000,-61.750
1785737391.671,48.0041037,3.6621310,2.636,-169.000,-55.250
1785737393.338,48.0041621,3.6621310,2.611,-169.000,-48.750
1785737395.005,48.0036950,3.6622182,1.865,-162.500,-100.750
1785737396.672,48.0037533,3.6622182,2.041,-162.500,-94.250
1785737398.339,48.0038117,3.6622182,2.071,-162.500,-87.750
1785737400.006,48.0038701,3.6622182,2.099,-162.500,-81.250
1785737401.673,48.0039285,3.6622182,2.395,-162.500,-74.750
1785737403.340,48.0039869,3.6622182,2.585,-162.500,-68.250
1785737405.007,48.0040453,3.6622182,2.636,-162.500,-61.750
1785737406.674,48.0041037,3.6622182,2.636,-162.500,-55.250
1785737408.341,48.0041621,3.6622182,2.636,-162.500,-48.750
1785737410.008,48.0042205,3.6622182,2.636,-162.500,-42.250
1785737411.675,48.0042789,3.6622182,2.076,-162.500,-35.750
1785737413.342,48.0036366,3.6623055,1.898,-156.000,-107.250
1785737415.009,48.0036950,3.6623055,2.042,-156.000,-100.750
1785737416.676,48.0037533,3.6623055,2.040,-156.000,-94.250
1785737418.343,48.0038117,3.6623055,1.845,-156.000,-87.750
1785737420.010,48.0038701,3.6623055,1.888,-156.000,-81.250
1785737421.677,48.0039285,3.6623055,2.292,-156.000,-74.750
1785737423.344,48.0039869,3.6623055,2.560,-156.000,-68.250
1785737425.011,48.0040453,3.6623055,2.636,-156.000,-61.750
1785737426.678,48.0041037,3.6623055,2.636,-156.000,-55.250
1785737428.345,48.0041621,3.6623055,2.636,-156.000,-48.750
1785737430.012,48.0042205,3.6623055,2.636,-156.000,-42.250
1785737431.679,48.0042789,3.6623055,2.636,-156.000,-35.750
1785737433.346,48.0043372,3.6623055,2.200,-156.000,-29.250
1785737435.013,48.0035198,3.6623928,2.223,-149.500,-120.250
1785737436.680,48.0035782,3.6623928,2.101,-149.500,-113.750
1785737438.347,48.0036366,3.6623928,2.106,-149.500,-107.250
1785737440.014,48.0036950,3.6623928,1.982,-149.500,-100.750
1785737441.681,48.0037533,3.6623928,1.820,-149.500,-94.250
1785737443.348,48.0038117,3.6623928,1.704,-149.500,-87.750
1785737445.015,48.0038701,3.6623928,1.816,-149.500,-81.250
1785737446.682,48.0039285,3.6623928,2.248,-149.500,-74.750
1785737448.349,48.0039869,3.6623928,2.579,-149.500,-68.250
1785737450.016,48.0040453,3.6623928,2.636,-149.500,-61.750
1785737451.683,48.0041037,3.6623928,2.636,-149.500,-55.250
1785737453.350,48.0041621,3.6623928,2.636,-149.500,-48.750
1785737455.017,48.0042205,3.6623928,2.636,-149.500,-42.250
1785737456.684,48.0042789,3.6623928,2.636,-149.500,-35.750
1785737458.351,48.0043372,3.6623928,2.636,-149.500,-29.250
1785737460.018,48.0043956,3.6623928,2.375,-149.500,-22.750
1785737461.685,48.0035198,3.6624800,2.312,-143.000,-120.250
1785737463.352,48.0035782,3.6624800,2.200,-143.000,-113.750
1785737465.019,48.0036366,3.6624800,1.940,-143.000,-107.250
1785737466.686,48.0036950,3.6624800,1.748,-143.000,-100.750
1785737468.353,48.0037533,3.6624800,1.662,-143.000,-94.250
1785737470.020,48.0038117,3.6624800,1.636,-143.000,-87.750
1785737471.687,48.0038701,3.6624800,1.784,-143.000,-81.250
1785737473.354,48.0039285,3.6624800,2.177,-143.000,-74.750
1785737475.021,48.0039869,3.6624800,2.512,-143.000,-68.250
1785737476.688,48.0040453,3.6624800,2.636,-143.000,-61.750
1785737478.355,48.0041037,3.6624800,2.636,-143.000,-55.250
1785737480.022,48.0041621,3.6624800,2.636,-143.000,-48.750
1785737481.689,48.0042205,3.6624800,2.636,-143.000,-42.250
1785737483.356,48.0042789,3.6624800,2.636,-143.000,-35.750
1785737485.023,48.0043372,3.6624800,2.636,-143.000,-29.250
